taxon	min	max
Casaleia_orientalis	42.9	48.
Britaneuretus_anglicus	33.9	38.
Canapone_dentata	70.6	83.5
Eulithomyrmex_rugosus	33.9	37.2
Paraponera_dieteri	13.82	20.44
Pseudomyrmex_extinctus	33.9	37.2
Brownimecia_clavata	89.8	93.9
Camelomecia_janovitzi	98.17	99.41
Gerontoformica_gracilis	93.5	99.6
Gerontoformica_magnus	93.5	99.6
Gerontoformica_pilosus	93.5	99.6
Gerontoformica_spiralis	93.5	99.6
Haidomyrmex_scimitarus	93.5	99.6
Haidomyrmodes_mammuthus	98.0	100.0
Haidoterminus_cippus	78.0	79.0
Kyromyrma_sp	89.8	93.9
Myanmyrma_gracilis	93.5	99.6
Sphecomyrma_freyi	79.0	92.0
